Session Id: 20207-182330
DEBUG | Sat Jul 25 18:23:30 IST 2020 : Services initiated
DEBUG | Sat Jul 25 18:23:55 IST 2020 : Copy completed: 3.bmp
DEBUG | Sat Jul 25 18:23:55 IST 2020 : 3.bmp : Data integrity check passed.
INFO  | Sat Jul 25 18:23:55 IST 2020 : 3 of 6 copied
DEBUG | Sat Jul 25 18:23:55 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 18:23:56 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 18:23:56 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-2\set-2\1.bmp
WARN  | Sat Jul 25 18:23:56 IST 2020 : Same named file exists : 1.bmp
WARN  | Sat Jul 25 18:23:56 IST 2020 : Overwriting existing file
DEBUG | Sat Jul 25 18:23:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:23:56 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Sat Jul 25 18:23:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:23:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:23:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:23:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:23:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:23:58 IST 2020 : Copy completed: 1.bmp
DEBUG | Sat Jul 25 18:23:58 IST 2020 : 1.bmp : Data integrity check passed.
INFO  | Sat Jul 25 18:23:58 IST 2020 : 4 of 6 copied
DEBUG | Sat Jul 25 18:23:58 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 18:23:58 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 18:23:58 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-2\set-2\2.bmp
WARN  | Sat Jul 25 18:23:58 IST 2020 : Same named file exists : 2.bmp
WARN  | Sat Jul 25 18:23:58 IST 2020 : Overwriting existing file
DEBUG | Sat Jul 25 18:23:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:23:58 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Sat Jul 25 18:23:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:23:59 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:23:59 IST 2020 : Setting UI for files in bucket...
